#List of brightest lines
1.7002	He I
2.0581	He I
2.1120	He I
#2.1213	H2 1-0 S(1)
2.1607	He I
2.1655	Br-gamma
#2.2227	H2 1-0 S(0)
2.2180	[Fe III]
