#  These OH Night Sky Lines are Observed with NIRSPEC 
#     at High Spectral Resolution (R=25,000)
#
#  Data is organized by columns which list:
#    1. Wavelength (Angstroms in vacuum)
#    2. Relative Strength (from reference below)
#
#  Reference:  Rousselot et al. 2000, A&A, 354, 1154
#
#
#
12482.530 #	4.38E+01
12501.915 #	8.89E+01
12502.919 #	8.89E+01
12571.304 #	1.60E+01
12611.259 #	2.79E-06
12617.980 #	8.38E-06
12667.352 #	4.62E+00
12668.117 #	4.62E+00
12682.442 #	8.19E+00
12683.997 #	8.19E+00
12698.686 #	2.08E-07
12747.917 #	2.67E+01
12750.124 #	7.72E+00
12752.121 #	9.35E-07
12752.731 #	7.44E+01
12759.447 #	1.82E+00
12760.893 #	3.61E+01
12764.344 #	1.63E+02
12770.952 #	1.07E+00
12776.159 #	3.50E-01
12777.032 #	7.22E+01
12782.500 #	2.71E+02
12784.423 #	1.81E+00
12786.286 #	1.81E+00
12834.534 #	1.03E+02
12903.508 #	7.39E+01
12905.702 #	6.96E+02
12921.099 #	2.74E+02
12943.104 #	1.03E+02
12943.249 #	1.03E+02
12985.550 #	1.49E+02
13052.006 #	2.54E+00
13085.086 #	5.76E+02
13127.821 #	1.73E+02
13130.338 #	3.79E-03
13132.164 #	3.79E-03
13140.356 #	5.78E-03
13143.318 #	5.78E-03
13157.079 #	4.34E+02
13210.769 #	1.10E+02
13267.579 #	3.87E-04
13269.735 #	3.87E-04
13276.776 #	5.77E-04
13280.173 #	5.77E-04
13302.090 #	5.42E+01
13304.812 #	2.01E-03
13324.135 #	1.11E+02
13325.231 #	1.11E+02
13387.105 #	2.24E-04
13400.967 #	2.11E+01
13414.271 #	3.26E-05
13416.787 #	3.26E-05
13420.836 #	4.03E+01
13422.235 #	4.03E+01
13426.632 #	4.77E-05
13508.731 #	6.61E+00
13509.527 #	6.61E+00
13526.471 #	1.19E+01
13528.201 #	1.19E+01
13570.917 #	2.29E-06
13573.831 #	2.29E-06
13577.796 #	5.85E-07
13583.187 #	3.30E-06
13626.444 #	1.67E+00
13641.334 #	2.86E+00
13643.429 #	2.86E+00
13664.103 #	3.35E+01
13665.413 #	8.71E+01
13671.065 #	1.05E+01
13674.666 #	4.18E+01
13687.938 #	1.56E+00
13688.766 #	4.28E-08
13692.057 #	2.86E+02
13747.749 #	1.04E+02
13821.996 #	7.37E+01
13823.750 #	6.97E+02
13842.074 #	2.82E+02
13868.232 #	1.10E+02
13868.408 #	1.10E+02
13887.021 #	5.88E-02
13888.679 #	5.88E-02
13902.563 #	3.88E+01
13902.874 #	3.88E+01
13911.435 #	1.49E+02
13984.418 #	3.09E+00
14022.035 #	5.91E+02
14059.022 #	6.14E+01
14069.825 #	1.82E+02
14086.954 #	3.63E+02
14103.009 #	4.62E+02
14107.094 #	1.71E+02
14119.064 #	3.11E-02
14134.188 #	7.87E+02
14162.957 #	3.30E+02
14266.201 #	6.32E+01
14292.311 #	1.31E+02
14293.537 #	1.31E+02
14341.990 #	3.16E+02
14352.250 #	9.24E+01
14356.690 #	9.73E+02
14374.351 #	2.96E+02
14402.592 #	5.10E+01
14404.172 #	5.10E+01
14519.123 #	2.14E+03
14564.018 #	7.78E+02
14605.127 #	2.17E+03
14664.989 #	5.65E+02
14697.998 #	1.35E+03
14701.920 #	5.81E+01
14799.240 #	5.97E+02
14800.423 #	5.97E+02
14805.702 #	3.07E+02
14832.902 #	1.37E+03
14864.397 #	5.68E+02
14887.819 #	1.76E+03
14908.278 #	1.96E+02
14909.776 #	1.96E+02
14931.795 #	6.40E+02
15006.255 #	2.72E+01
15007.219 #	2.72E+01
15187.009 #	1.05E+03
15240.788 #	3.52E+03
15287.747 #	1.30E+03
15332.100 #	3.65E+03
15332.705 #	3.65E+03
15429.836 #	1.61E+01
15430.490 #	1.61E+01
15500.571 #	2.81E+02
15509.559 #	5.06E+02
15517.706 #	1.43E+02
15539.711 #	1.08E+03
15540.945 #	1.08E+03
15545.890 #	7.76E+02
15570.070 #	3.60E+02
15597.439 #	1.55E+03
15631.560 #	6.40E+02
15654.833 #	1.93E+03
