#Table 3 H2 lines from Black and van Dishoeck (1987), 3rd column is the relative flux from Model 14
1.7292	8-6 S(2)	0.08
1.7283	7-5 Q(1)	0.38
1.7143	1-0 S(8)	0.07
1.7033	13-9 O(3)	0.06
1.7013	8-6 S(3)	0.11
1.6873	1-0 S(9)	0.10
1.6865	11-8 Q(3)	0.05
1.6861	4-2 O(6)	0.09
1.6824	6-4 Q(7)	0.07
1.6745	6-4 O(2)	0.26
1.6714	5-3 O(4)	0.28
1.6608	6-4 Q(6)	0.05
1.6581	7-5 S(0)	0.16
1.6567	11-8 Q(1)	0.10
1.6478	10-7 O(5)	0.05
1.6449	3-1 O(7)	0.07
1.6426	6-4 Q(5)	0.16
1.6276	6-4 Q(4)	0.14
1.6219	4-2 O(5)	0.31
1.6201	7-5 S(1)	0.32
1.6158	6-4 Q(3)	0.35
1.6144	3-9 Q(1)	0.06
1.6131	5-3 O(3)	0.60
1.6080	5-3 Q(9)	0.05
1.6069	6-4 Q(2)	0.26
1.6011	6-4 Q(1)	0.53
1.5948	10-7 O(4)	0.06
1.5911	11-8 S(1)	0.07
1.5879	7-5 S(2)	0.15
1.5807	3-1 O(6)	0.08
1.5631	4-2 O(4)	0.31
1.5622	5-3 Q(7)	0.09
1.5611	7-5 S(3)	0.19
1.5603	5-3 O(2)	0.33
1.5484	10-7 O(3)	0.12
1.5438	5-3 Q(6)	0.07
1.5396	7-5 S(4)	0.07
1.5365	6-4 S(0)	0.23
1.5283	5-3 Q(5)	0.21
1.5232	7-5 S(5)	0.09
1.5216	3-1 O(5)	0.29
1.5154	5-3 Q(4)	0.18
1.5095	4-2 O(3)	0.67
1.5081	10-7 O(2)	0.07
1.5052	5-3 Q(3)	0.45
1.5011	6-4 S(1)	0.47
1.4985	4-2 Q(9)	0.06
1.4976	5-3 Q(2)	0.34
1.4925	5-3 Q(1)	0.68
1.4866	2-0 O(6)	0.05
1.4823	10-7 Q(3)	0.08
1.4751	9-6 O(5)	0.06
1.4708	6-4 S(2)	0.23
1.4694	10-7 Q(2)	0.07
1.4673	3-1 O(4)	0.30
1.4610	10-7 Q(1)	0.14
1.4607	4-2 O(2)	0.37
1.4588	4-2 Q(7)	0.11
1.4474	3-1 Q(11)	0.05
1.4452	6-4 S(3)	0.30
1.4428	4-2 Q(6)	0.09
1.4327	5-3 S(0)	0.30
1.4318	2-0 O(5)	0.20
1.4308	9-6 O(4)	0.07
1.4292	4-2 Q(5)	0.25
1.4243	6-4 S(4)	0.11
1.4207	10-7 S(0)	0.06
1.4179	4-2 Q(4)	0.21
1.4176	3-1 O(3)	0.65
1.4111	12-8 O(3)	0.06
1.4090	4-2 Q(3)	0.54
1.4078	6-4 S(5)	0.15
1.4031	3-1 Q(9)	0.07
1.4023	4-2 Q(2)	0.40
1.4020	10-7 S(1)	0.11
1.3997	5-3 S(1)	0.64
1.3978	4-2 Q(1)	0.79
1.3955	6-4 S(6)	0.05
1.3916	9-6 O(3)	0.16
1.3875	6-4 S(7)	0.08
1.3813	2-0 O(4)	0.20
1.3799	10-7 S(3)	0.07
1.3724	3-1 O(2)	0.36
1.3711	5-3 S(2)	0.32
1.3680	3-1 Q(7)	0.12
1.3617	9-6 Q(5)	0.05
1.3570	9-6 O(2)	0.09
1.3538	3-1 Q(6)	0.09
1.3468	5-3 S(3)	0.43
1.3436	12-8 Q(1)	0.08
1.3422	4-2 S(0)	0.37
1.3417	3-1 Q(5)	0.26
1.3416	8-5 O(5)	0.06
1.335055	2-0 O(3)	0.45
1.3317	9-6 Q(3)	0.12
1.3317	3-1 Q(4)	0.22
1.3266	5-3 S(4)	0.16
1.3237	3-1 Q(3)	0.56
1.3219	9-6 Q(2)	0.09
1.3184	2-0 Q(9)	0.06
1.3177	3-1 Q(2)	0.41
1.3155	9-6 Q(1)	0.19
1.3138	3-1 Q(1)	0.80
1.3112	4-2 S(1)	0.79
1.3103	5-3 S(5)	0.22
1.3078	12-8 S(1)	0.06
1.3034	8-5 O(4)	0.07
1.2978	5-3 S(6)	0.08
1.292867	2-0 O(2)	0.25
1.2890	5-3 S(7)	0.12
1.2869	2-0 Q(7)	0.09
1.2843	4-2 S(2)	0.40
1.2820	5-3 S(9)	0.07
1.2794	9-6 S(0)	0.09
1.2741	2-0 Q(6)	0.07
1.2691	8-5 O(3)	0.16
1.2632	2-0 Q(5)	0.20
1.2618	9-6 S(1)	0.18
1.2617	3-1 S(0)	0.38
1.2612	4-2 S(3)	0.55
1.2542	2-0 Q(4)	0.17
1.2482	9-6 S(2)	0.08
1.246979	2-0 Q(3)	0.42
1.2418	4-2 S(4)	0.21
1.241589	2-0 Q(2)	0.30
1.2387	8-5 O(2)	0.10
1.2386	9-6 S(3)	0.12
1.2381	8-5 Q(5)	0.07
1.2380036	2-0 Q(1)	0.59
1.2338	7-4 O(5)	0.05
1.2327	3-1 S(1)	0.84
1.2314	9-6 S(5)	0.06
1.2260	4-2 S(5)	0.30
1.2248	8-5 Q(4)	0.05
1.2213	11-7 O(3)	0.05
1.2143	8-5 Q(3)	0.14
1.2136	4-2 S(6)	0.10
1.2073	3-1 S(2)	0.44
1.2065	8-5 Q(2)	0.11
1.2044	4-2 S(7)	0.18
1.2014	8-5 Q(1)	0.22
1.2000	7-4 O(4)	0.06
1.1987	4-2 S(11)	0.06
1.1984	4-2 S(8)	0.06
1.1955	4-2 S(9)	0.11
1.1892493	2-0 S(0)	0.29
1.1854	3-1 S(3)	0.62
1.1696	7-4 O(3)	0.16
1.1687	8-5 S(0)	0.11
1.1668	3-1 S(4)	0.21
1.1663	11-7 Q(1)	0.07
1.1619025	2-0 S(1)	0.66
1.1521	8-5 S(1)	0.23
1.1515	3-1 S(5)	0.35
1.1422	7-4 O(2)	0.10
1.1393	3-1 S(6)	0.12
1.1389	8-5 S(2)	0.11
1.1386	7-4 Q(5)	0.07
1.1379238	2-0 S(2)	0.35
1.1334	11-7 S(1)	0.07
1.1301	3-1 S(7)	0.22
1.1289	8-5 S(3)	0.16
1.1276	7-4 Q(4)	0.06
1.1237	3-1 S(8)	0.08
1.1222	8-5 S(4)	0.06
1.1219	8-5 S(7)	0.05
1.1208	3-1 S(11)	0.08
1.1201	3-1 S(9)	0.15
1.1190	7-4 Q(3)	0.15
1.1187	8-5 S(5)	0.09
1.1172	2-0 S(3)	0.50
1.1135	6-3 O(4)	0.05
1.1126	7-4 Q(2)	0.12
1.1083	7-4 Q(1)	0.23
1.0995	2-0 S(4)	0.20
1.0860	6-3 O(3)	0.14
1.0848	2-0 S(5)	0.29
1.0783	7-4 S(0)	0.12
1.0730	2-0 S(6)	0.11
1.0638	2-0 S(7)	0.21
1.6028	7-4 S(1)	0.26
1.0612	6-3 O(2)	0.09
1.0573	2-0 S(8)	0.07
1.0557	6-3 Q(5)	0.07
1.0533	2-0 S(9)	0.15
1.0523	2-0 S(11)	0.07
1.0501	7-4 S(2)	0.13
1.0464	6-3 Q(4)	0.06
1.0401	7-4 S(3)	0.20
1.0393	10-6 Q(1)	0.07
1.0391	6-3 Q(3)	0.15
1.0336	6-3 Q(2)	0.11
1.0329	7-4 S(4)	0.08
1.0300	6-3 Q(1)	0.22
1.0284	7-4 S(5)	0.12
1.0277	7-4 S(7)	0.07
1.0140	5-2 O(3)	0.11
1.0091	10-6 S(1)	0.08
1.0023	6-3 S(0)	0.12
1.0005	10-6 S(3)	0.06
0.9912	5-2 O(2)	0.07
0.9877	6-3 S(1)	0.27
0.9847	5-2 Q(5)	0.06
0.9767	5-2 Q(4)	0.05
0.9755	6-3 S(2)	0.14
0.9703	5-2 Q(3)	0.13
0.9658	6-3 S(3)	0.22
0.9656	5-2 Q(2)	0.10
0.9624	5-2 Q(1)	0.20
0.9584	6-3 S(4)	0.09
0.9570	6-3 S(9)	0.06
0.9534	6-3 S(5)	0.13
0.9533	9-5 Q(3)	0.05
0.9508	4-1 O(3)	0.06
0.9508	6-3 S(6)	0.05
0.9505	6-3 S(7)	0.09
0.9424	9-5 Q(1)	0.08
0.9367	5-2 S(0)	0.11
0.9229	5-2 S(1)	0.25
0.9146	9-5 S(1)	0.10
0.9114	5-2 S(2)	0.14
0.9099	4-1 Q(3)	0.09
0.9083	9-5 S(2)	0.05
0.9057	4-1 Q(2)	0.07
0.9050	9-5 S(5)	0.05
0.9046	9-5 S(3)	0.08
0.9029	4-1 Q(1)	0.13
0.9019	5-2 S(3)	0.21
0.8946	5-2 S(4)	0.09
