#Energies from all H2 rovibrational levels from Roueff et al. (2019)
#v J energy [cm^-1]
0 0 0.0
0 1 118.4867869999971
0 2 354.3731039999984
0 3 705.5188119999948
0 4 1168.7974069999982
0 5 1740.1894969999994
0 6 2414.896953999996
0 7 3187.470432999995
0 8 4051.942952999998
0 9 5001.962807999997
0 10 6030.920215999999
0 11 7132.063421999999
0 12 8298.601396999999
0 13 9523.791564
0 14 10801.012077999996
0 15 12123.819044999997
0 16 13485.98965
0 17 14881.552526
0 18 16304.806895999998
0 19 17750.332006999997
0 20 19212.988321999997
0 21 20687.911748
0 22 22170.502000999997
0 23 23656.405907
0 24 25141.496204999996
0 25 26621.846029
0 26 28093.698899999996
0 27 29553.433481999997
0 28 30997.521635999998
0 29 32422.477139
0 30 33824.790485
0 31 35200.841676
1 0 4161.166095999997
1 1 4273.740548999998
1 2 4497.8383969999995
1 3 4831.391422999997
1 4 5271.3794169999965
1 5 5813.9217199999985
1 6 6454.388660999997
1 7 7187.525591999998
1 8 8007.582252999997
1 9 8908.440874999997
1 10 9883.737566999996
1 11 10926.972928
1 12 12031.609206999998
1 13 13191.152623999998
1 14 14399.220513999997
1 15 15649.593752999997
1 16 16936.255460999997
1 17 18253.417276999997
1 18 19595.53463
1 19 20957.312399
1 20 22333.702189999996
1 21 23719.892259999997
1 22 25111.290782999997
1 23 26503.502768
1 24 27892.300444
1 25 29273.586227999996
1 26 30643.346389
1 27 31997.591922
1 28 33332.280415
1 29 34643.207582999996
1 30 35925.846837
2 0 8087.002803999996
2 1 8193.794478999996
2 2 8406.361050999996
2 3 8722.702189999996
2 4 9139.897786999998
2 5 9654.197374999996
2 6 10261.128663
2 7 10955.617913999999
2 8 11732.114975999997
2 9 12584.716474999997
2 10 13507.281908999998
2 11 14493.538731999997
2 12 15537.173947999996
2 13 16631.910966
2 14 17771.571449
2 15 18950.122672999998
2 16 20161.711328999998
2 17 21400.684986999997
2 18 22661.602432
2 19 23939.234008
2 20 25228.552822999998
2 21 26524.717262
2 22 27823.044747
2 23 29118.975825999998
2 24 30408.02654
2 25 31685.725099999996
2 26 32947.525602999995
2 27 34188.685408
2 28 35404.080202
3 0 11782.391136999999
3 1 11883.48807
3 2 12084.697305999998
3 3 12384.082047999997
3 4 12778.815586999997
3 5 13265.268401999998
3 6 13839.113586
3 7 14495.443372999998
3 8 15228.889635
3 9 16033.742014
3 10 16904.058552
3 11 17833.765087999996
3 12 18816.741069999996
3 13 19846.890609
3 14 20918.198575
3 15 22024.772165999995
3 16 23160.868782999998
3 17 24320.911162999997
3 18 25499.490636999995
3 19 26691.359075
3 20 27891.409545999995
3 21 29094.644903999997
3 22 30296.132213999997
3 23 31490.938855999997
3 24 32674.042512999997
3 25 33840.20045
3 26 34983.749639
3 27 36098.277504
4 0 15250.366030999998
4 1 15345.810199
4 2 15535.743644999999
4 3 15818.288212
4 4 16190.703046999999
4 5 16649.469165
4 6 17190.391520999998
4 7 17808.711409999996
4 8 18499.222157999997
4 9 19256.381887999996
4 10 20074.418363999997
4 11 20947.42229
4 12 21869.426800999998
4 13 22834.471987999998
4 14 23836.654185
4 15 24870.160269
4 16 25929.287464999998
4 17 27008.449101
4 18 28102.166339999996
4 19 29205.045174
4 20 30311.736698999997
4 21 31416.876463999997
4 22 32514.994950999997
4 23 33600.384044
4 24 34666.8898
4 25 35707.568557
5 0 18491.930115
5 1 18581.710753
5 2 18760.344055999998
5 3 19026.004758
5 4 19376.028992
5 5 19806.996053999996
5 6 20314.82679
5 7 20894.891477999998
5 8 21542.120273999997
5 9 22251.110104
5 10 23016.223074999998
5 11 23831.672876999997
5 12 24691.596846999997
5 13 25590.112466
5 14 26521.357701999998
5 15 27479.514992999997
5 16 28458.818586999998
5 17 29453.544398
5 18 30457.980379999997
5 19 31466.373323999997
5 20 32472.844086999998
5 21 33471.256033
5 22 34455.006543999996
5 23 35416.677582
6 0 21505.780082999998
6 1 21589.824050999996
6 2 21757.007455
6 3 22005.550846
6 4 22332.856412999998
6 5 22735.586582999997
6 6 23209.758243999997
6 7 23750.845522999996
6 8 24353.88427
6 9 25013.572149
6 10 25724.359462
6 11 26480.527059
6 12 27276.248831999997
6 13 28105.637110999996
6 14 28962.769666999997
6 15 29841.69691
6 16 30736.426965
6 17 31640.884427999998
6 18 32548.834824999998
6 19 33453.759583
6 20 34348.651294999996
6 21 35225.664927
6 22 36075.470669999995
7 0 24287.915972999996
7 1 24366.073915999998
7 2 24521.504234
7 3 24752.464146
7 4 25056.407734999997
7 5 25430.060829
7 6 25869.510328999997
7 7 26370.300928999997
7 8 26927.532377999996
7 9 27535.951126
7 10 28190.03132
7 11 28884.041116999997
7 12 29612.091167
7 13 30368.162406999996
7 14 31146.109957999997
7 15 31939.638297999998
7 16 32742.239505999998
7 17 33547.079177
7 18 34346.799689
7 19 35133.175891
7 20 35896.466707
8 0 26831.091328
8 1 26903.117680999996
8 2 27046.297698
8 3 27258.912833
8 4 27538.449708
8 5 27881.670414
8 6 28284.695719999996
8 7 28743.094051999997
8 8 29251.969231999996
8 9 29806.040503999997
8 10 30399.709172
8 11 31027.106734999998
8 12 31682.119457999997
8 13 32358.383200999997
8 14 33049.239289
8 15 33747.635328
8 16 34445.939807999996
8 17 35135.603833999994
8 18 35806.507392
9 0 29124.041213999997
9 1 29189.564741
9 2 29319.74328
9 3 29512.864652999997
9 4 29766.420033
9 5 30077.168158999997
9 6 30441.210173
9 7 30854.067661999998
9 8 31310.756267999997
9 9 31805.847346
9 10 32333.510093999997
9 11 32887.525703
